Area;Year_Day;Ano;Month;Day;PAR;rainfall;soil.moisture5;soil.moisture20;windspeed;temp;rh
Low;1;14;1;1;468.153125;0;0.115724306;0.151520139;0.291860465;24.18217708;79.98472222
Low;2;14;1;2;668.2399306;0;0.109908333;0.146965278;0.309202128;24.61215625;70.60798611
Low;3;14;1;3;694.1079861;0;0.102876389;0.141936458;0.308803419;23.50568403;62.04444444
Low;4;14;1;4;692.9361111;0;0.096700347;0.136719444;0.325782313;22.56972917;64.58020833
Low;5;14;1;5;594.4465278;0;0.091680556;0.131920486;0.345736041;21.82338542;65.57847222
Low;6;14;1;6;671.5472222;0;0.086705903;0.127358333;0.351781818;21.64391667;67.28055556
Low;7;14;1;7;547.0072917;0;0.082438194;0.122956944;0.466533333;20.40461111;69.83576389
Low;8;14;1;8;646.903125;0;0.078168403;0.119064583;2.682738854;21.15897917;70.61458333
Low;9;14;1;9;547.8319444;0.2;0.074294444;0.115390972;3.273486239;21.02467708;77.30520833
Low;10;14;1;10;471.6340278;0.2;0.072146528;0.112140972;2.9948;21.45860069;81.35729167
Low;11;14;1;11;478.0315972;0.2;0.064615972;0.108828125;3.191261261;22.11875347;75.01388889
Low;12;14;1;12;612.8579861;0;0.060501736;0.104684722;3.194895833;22.13244444;73.26875
Low;13;14;1;13;608.6045139;0;0.054503125;0.100027778;3.413645833;22.93595486;72.08715278
Low;14;14;1;14;548.6045139;0;0.050075347;0.095535417;3.438506944;22.35578125;70.57118056
Low;15;14;1;15;665.2972222;0;0.045388889;0.091359722;2.920208333;22.56151042;68.62881944
Low;16;14;1;16;568.6392361;0;0.040902083;0.087804514;2.536145833;23.17282986;65.73993056
Low;17;14;1;17;436.7902778;3.02;0.037437847;0.084358333;2.273636364;21.89389583;73.37048611
Low;18;14;1;18;211.7989583;16.44;0.044928472;0.081619792;0.570123457;19.95742014;87.7
Low;19;14;1;19;387.9621528;0.8;0.092394444;0.089900347;0.671754386;19.67739931;86.09479167
Low;20;14;1;20;298.1618056;22.59;0.110253472;0.136530208;0.727579618;19.91664583;88.48194444
Low;21;14;1;21;379.2381944;1.2;0.110230208;0.143281944;0.318081395;20.85771875;83.59895833
Low;22;14;1;22;357.7885417;1.6;0.104209028;0.134680208;0.287086614;20.69124306;84.98472222
Low;23;14;1;23;502.8232639;0;0.101298611;0.131255556;0.295877193;22.73764583;78.57951389
Low;24;14;1;24;602.3979167;0;0.094829514;0.125472917;0.352975207;22.80244444;75.67569444
Low;25;14;1;25;699.3944444;0;0.088276736;0.118273958;0.307849462;22.12287153;71.478125
Low;26;14;1;26;601.2954861;0;0.08210625;0.111271528;0.306047431;21.94726389;72.38611111
Low;27;14;1;27;630.4708333;0.4;0.077282986;0.105920139;0.257410072;21.94740278;74.12256944
Low;28;14;1;28;651.9552083;0;0.072488889;0.100609375;0.267738516;21.27877083;66.62951389
Low;29;14;1;29;498.2486111;0;0.068176389;0.095786111;0.265376884;20.35748611;76.07118056
Low;30;14;1;30;576.6861111;0;0.063163542;0.091771528;0.305252101;21.58345833;69.47708333
Low;31;14;1;31;663.9951389;0;0.0580375;0.086565625;0.281344538;21.22081944;67.15659722
Low;32;14;2;1;618.1618056;0;0.053252083;0.081464236;0.30569378;21.58840972;68.0625
