Index;Site;Indiv;Altitude;Temp_mean;Temp_onset_bud;Temp_onset_ant;Temp_Peak_bud;Temp_Peak_ant;Dur_ant_days;Dur_ant_month;Bud_max;Ant_max;Immat_max;Mat_max;Sum_Prod_Bud;Sum_Prod_Flower;Sum_Prod_Ant;Sum_Prod_Immat;Sum_Prod_Mat;Number_census;Time_observ;Mean_open_flowers;Total_open_flowers;N_visited_flowers;Number_visits;Total_interactions;Int_pollin
19;Mid;18;1190;NA;18.05;17.02;20.06827778;NA;92;3;304;136;936;40;792;208;936;2120;104;NA;NA;NA;NA;NA;NA;NA;NA
23;Mid;21;1189;18.14631518;17.02;17.02;19.27828819;20.06827778;77;3;973;1148;770;350;2310;1794;1794;2212;413;14;140;35;70;0;0;0;0
26;Mid;24;1193;18.14631518;18.05;17.02;17.02346181;20.06827778;77;3;192;108;156;40;420;132;156;388;55;NA;NA;NA;NA;NA;NA;NA;NA
27;Mid;25;1192;16.3942106;18.05;17.02;17.02346181;19.27828819;92;3;352;72;64;NA;688;144;144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;Mid;27;1184;19.5459251;19.28;20.07;16.87732056;24.09572917;77;2.5;1233;531;828;NA;3222;1008;1008;NA;NA;8;80;30;30;4;2;0.04;2
31;Mid;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;5;2;0.04;2
33;Mid;31;1189;18.14631518;22.18;22.18;20.06827778;20.06827778;168;6;3718;2892;3562;988;9786;6441;6441;11311;1924;22;220;32.5;65;0;0;0;0
37;Mid;35;1190;17.21530417;18.05;17.02;17.02346181;17.02346181;92;3;6331;1937;6591;143;9255;3627;6591;20957;296;14;140;15.5;31;0;0;0;0
38;Mid;36;1190;17.21530417;18.05;17.02;17.02346181;17.02346181;45;1.5;539;273;1687;308;742;364;1687;5544;351;NA;NA;NA;NA;NA;NA;NA;NA
39;Mid;37;1189;18.14631518;18;19.28;19.27828819;20.06827778;46;1.5;36;51;59;23;58;62;62;160;37;12;120;6.33;19;3;1;0.02;1
42;Mid;40;1190;18.14631518;18;19.28;20.06827778;16.87732056;62;2;3278;2508;3454;1265;5148;4334;4334;8404;1870;22;220;172.5;345;7;4;0.09;4
43;Mid;41;1191;18.14631518;19.28;20.07;20.06827778;20.06827778;47;1.5;92;26;31;12;114;43;43;71;12;7;70;6;6;0;0;0;0
NA;Mid;ld41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;4;4;0;0;0;0
47;Mid;45;1191;16.3942106;17.02;17.02;19.27828819;19.27828819;92;3;2057;1804;2574;165;3003;2552;2574;7689;286;28;280;98.33;295;0;0;0;0
49;Mid;46;1196;17.21530417;18.32;18.32;17.02346181;17.02346181;107;4;4674;9500;17157;2717;8104;17483;17483;71174;6346;28;280;71.67;215;1;1;0.02;1
50;Mid;46_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;80;50;50;0;0;0;0
51;Mid;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;80;65;65;1;1;0.02;1
52;Mid;48;1197;17.21530417;18.32;17.02;17.02346181;17.02346181;61;2;1672;4104;4902;2983;1996;5396;5396;20653;3306;2;20;20;20;0;0;0;0
54;Mid;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;1;1;0.02;1
55;Mid;51;1200;17.21530417;18.05;17.02;17.02346181;17.02346181;61;2;396;4730;4752;3608;418;4774;4774;19580;3828;2;20;3;3;0;0;0;0
60;Mid;56;1199;16.3942106;18.05;17.02;17.02346181;19.27828819;76;2.5;530;970;260;NA;690;1740;1740;NA;NA;3;30;10;10;0;0;0;0
65;Mid;61;1194;16.3942106;18.05;17.02;17.02346181;19.27828819;61;2;1968;1760;3072;NA;2624;2208;3072;NA;NA;7;70;10;10;0;0;0;0
67;Mid;63;1192;16.3942106;17.02;17.02;19.27828819;19.27828819;92;3;975;1248;936;117;1979;2514;2514;3426;189;29;290;45;145;1;1;0.02;1
70;Mid;66;1193;16.3942106;18.05;17.02;19.27828819;19.27828819;107;4;4978;7011;8436;2318;12767;16724;16724;26315;3971;28;280;153.33;460;1;1;0.02;1
71;Mid;67;NA;NA;NA;NA;NA;NA;92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;80;40;40;0;0;0;0
72;Mid;68;1193;18.14631518;18.05;17.02;19.27828819;20.06827778;NA;3;5073;6973;6327;NA;13433;14079;14079;NA;NA;28;280;101.67;305;1;1;0.02;1
76;Mid;72;1190;17.21530417;19.13;18.32;17.02346181;17.02346181;92;3;988;18434;22842;5400;3445;20507;22842;NA;6588;6;60;30;30;0;0;0;0
77;Mid;73;1185;18.14631518;19.28;20.07;20.06827778;20.06827778;47;1.5;2250;330;1320;NA;3120;720;1320;NA;NA;8;80;11;11;0;0;0;0
82;Mid;78;1187;16.3942106;18.05;17.02;17.02346181;19.27828819;92;3;8580;2490;8340;NA;15600;4740;8340;NA;NA;6;60;25;25;0;0;0;0
86;Mid;82;1193;19.5459251;20.07;16.88;16.87732056;20.98233333;61;2;1235;650;60;25;2975;805;805;60;25;NA;NA;NA;NA;NA;NA;NA;NA
90;Mid;86;1188;18.14631518;20.07;20.07;20.06827778;20.06827778;47;1.5;5995;99;209;NA;8481;176;209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;Mid;87;1189;18.14631518;17.02;19.28;20.06827778;20.06827778;77;3;56;25;53;NA;163;48;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;Mid;90;1191;16.3942106;17.02;17.02;17.02346181;19.27828819;77;3;322;651;364;NA;882;1365;1365;NA;NA;22;220;16;48;0;0;0;0
96;Mid;91;1195;18.14631518;18.05;19.28;20.06827778;20.06827778;62;2;35;16;10;NA;67;48;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;Mid;92;1197;16.3942106;18.05;17.02;19.27828819;19.27828819;76;2.5;1023;957;714;NA;2293;1543;1543;NA;NA;8;80;6;6;0;0;0;0
100;Mid;95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;30;NA;NA;9;3;0.06;3
101;Mid;96;1199;18.14631518;19.28;19.28;19.27828819;16.87732056;92;3;387;135;405;138;870;324;405;981;195;16;160;16;32;5;4;0.09;4
102;Mid;97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;14;3;0.06;3
103;Mid;98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;70;NA;NA;24;9;0.19;9
104;Mid;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;1;1;0.02;1
105;Mid;100;1203;18.14631518;17.02;17.02;20.06827778;16.87732056;92;3;1675;2250;2095;NA;3645;3865;3865;NA;NA;23;230;41.67;125;7;5;0.11;5
106;Mid;101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;30;150;150;26;7;0.15;7
108;Mid;103;1206;16.3942106;18.05;17.02;17.02346181;19.27828819;122;4;11280;11484;9464;728;21430;21014;21014;33248;1352;21;210;126.67;380;0;0;0;0
216;High;208;1288;18.540725;18.95;18.95;15.8591875;20.07188194;77;2.5;3;2;1;NA;7;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
218;High;210;1293;15.49182514;16.99;16.24;16.24230903;18.69107639;76;2.5;4761;4301;4784;2093;6233;7084;7084;18653;4991;8;80;70;70;2;1;0.01;1
220;High;211;1293;15.49182514;16.99;16.24;16.24230903;18.69107639;61;2;990;855;1380;375;1125;1245;1380;5550;525;17;170;9;18;0;0;0;0
221;High;212;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;160;31;93;8;3;0.03;3
222;High;213;1292;15.49182514;16.99;16.24;16.24230903;18.69107639;92;3;4524;4234;4640;377;7656;6612;6612;15689;696;31;310;25;100;17;2;0.02;2
NA;High;Frt213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;4;1;0.01;1
224;High;215;1291;15.49182514;16.24;18.69;18.69107639;18.69107639;62;2;255;267;261;48;627;603;603;747;75;29;290;17.5;70;8;2;0.02;2
225;High;216;1292;15.49182514;16.99;16.24;16.24230903;18.69107639;92;3;1856;1712;2448;144;3424;2992;2992;NA;144;35;350;42.5;170;27;5;0.04;5
226;High;217;1291;15.49182514;16.99;16.24;16.24230903;18.69107639;76;2.5;750;660;1210;210;1720;1170;1210;3960;420;33;330;15;45;2;1;0.01;1
227;High;218;1291;15.49182514;16.99;16.24;16.24230903;18.69107639;81;4;3680;3980;3920;660;8540;7155;7155;12920;940;34;340;36.67;110;6;3;0.03;3
228;High;219;1289;17.19428271;18.69;18.69;18.69107639;18.95186111;62;2;1143;1350;1539;468;2547;2610;2610;3735;792;22;220;35;105;2;1;0.01;1
230;High;221;1287;17.19428271;18.69;18.95;18.95186111;15.8591875;47;1.5;624;480;480;NA;1040;728;728;NA;NA;10;100;50;50;0;0;0;0
241;High;230;1284;15.49182514;16.99;16.24;16.24230903;18.69107639;76;2.5;2272;2272;1632;NA;3120;3056;3056;NA;NA;26;260;20;40;7;1;0.01;1
242;High;231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;20;NA;NA;4;1;0.01;1
243;High;232;1287;15.49182514;16.99;16.24;16.24230903;18.69107639;76;2.5;2940;4560;4180;NA;5320;6820;6820;NA;NA;38;380;62.5;250;72;8;0.07;8
NA;High;sn;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;1;1;0.01;1
244;High;233;1287;15.49182514;16.99;16.24;16.24230903;18.69107639;106;3;4420;5408;8502;NA;9282;9386;9386;NA;NA;39;390;148.75;595;36;10;0.09;10
NA;High;ld233;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;3;1;0.01;1
245;High;234;1287;15.49182514;16.99;16.24;16.24230903;18.69107639;76;2.5;8814;9230;9256;NA;12532;11830;11830;NA;NA;35;350;83.75;335;21;5;0.04;5
248;High;236;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;20;150;150;5;1;0.01;1
249;High;237;1289;17.19428271;16.24;18.69;18.95186111;18.95186111;62;2;270;192;246;NA;669;510;510;NA;NA;11;110;11;11;0;0;0;0
251;High;239;1290;16.32307581;16.99;16.24;16.24230903;16.24230903;76;2.5;567;1281;1281;189;714;1932;1932;5859;252;NA;NA;NA;NA;NA;NA;NA;NA
253;High;240_1;1290;16.32307581;16.24;16.24;16.24230903;16.24230903;30;1;1;17;22;NA;1;17;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
254;High;241;1293;17.19428271;17.3;18.69;18.95186111;15.8591875;62;2;4676;2660;5292;2296;10248;6524;6524;9828;2660;26;260;61.67;185;9;3;0.03;3
NA;High;ld241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;10;NA;NA;2;1;0.01;1
255;High;242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;30;300;300;7;3;0.03;3
258;High;245;1289;16.32307581;16.99;16.24;16.24230903;16.24230903;45;1.5;308;805;791;NA;413;1134;1134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
260;High;247;1288;15.49182514;18.69;18.69;18.69107639;18.69107639;31;1;40;7;4;2;55;9;9;10;2;NA;NA;NA;NA;NA;NA;NA;NA
263;High;250;1290;17.19428271;18.69;18.69;18.69107639;18.95186111;46;1.5;11;13;9;2;16;27;27;26;3;NA;NA;NA;NA;NA;NA;NA;NA
266;High;253;1289;16.32307581;18.29;17.41;16.24230903;16.24230903;123;4;380;4860;320;NA;600;5160;5160;1020;NA;NA;NA;NA;NA;NA;NA;NA;NA
267;High;254;1291;17.19428271;18.69;18.95;18.69107639;18.95186111;31;1;2;1;1;0;3;2;2;3;0;NA;NA;NA;NA;NA;NA;NA;NA
